credibility_score,error,evidence_level,evidence_total_tokens,generation_origin_level,generation_origin_score,notes,raw,top_claim_confidence,top_claim_status,url
67.56,,low,17,low,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: NewGen). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,,0.52,not_enough_evidence,https://youtube.com/shorts/_XrfQLBpfwA?si=6FPgyKmVMcj8WxA7
68.39,,low,25,low,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: JesssFam). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,,0.52,not_enough_evidence,https://youtube.com/shorts/n-MbuVcPb_E?si=jRQNV17wMF8RoYUi
67.77,,low,19,low,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: James and Deanna). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,,0.52,not_enough_evidence,https://youtube.com/shorts/gFgwZolVBnU?si=8cUY9eBzirD6rt5m
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/TwwrmOSYP4k?si=ZovWp3cH1zEy7Kpy
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/Y0bT_zfCPfY?si=XahmlqfrSY85BLDD
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/nCDW3MqKsfI?si=wVHp3dadeaXQo--q
,curl: (56) Recv failure: Connection reset by peer,,,,,,,,,https://youtube.com/shorts/NDbh-ySbe8w?si=XKaift3Z4OZm3Alj
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/eewU22K5pmw?si=5a-WeZD3SiqJVtKj
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/sUE6BQB8AQg?si=6w5huCf9srwWVEtH
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/k--LbtL3PL0?si=fkCRaWF7GnxGVKEP
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/6TiH2zc9jrA?si=9_FT8gd91a8qbDvK
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/dZrT-6uru7k?si=avP_ZK0lMNj38nfN
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/9o0jFdLnlX0?si=vOIBnYjwk9Us7Cf7
,curl: (28) Operation timed out after 45000 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/OfoGCX1YuUQ?si=ygUE9h47fSd8YQG8
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/cTyGbikT0vM?si=qQrlu4pH1lq8PT5o
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/G_CTX2CRZ0M?si=A7QM7R1RzVfAR3QD
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/49jJRNbuwqc?si=UYRvTjfAZsMHFEU-
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/WvqddxQSCv8?si=qsNzWiqwtyYRLep9
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/on8eQbCF0wY?si=nmQJsUpRur7NiVZY
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/ehmzuc70Fkc?si=_VFqhAdJjeiv7dem
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/srsmWbUBxoI?si=u_44BdwBmRPE1v-y
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/3UjOTyvp698?si=j_SIW-e4kqhsKHkv
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/mt6POuw-a3g?si=1xLRs03XPMZ1BJBh
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/ZQJmsTiRVjo?si=Hyq0caRk0gnPhCw_
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/WAPHL4XIJSg?si=QYVwLz1UAjmsab5o
,curl: (28) Operation timed out after 45000 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/aEC1q52Iuq0?si=zHzcowrU9DaJyqsS
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/I-RQMA41Sfs?si=aS6aKyPQPvc2_QYN
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/YrGAVDdAZ9k?si=xqfaYptLCkMIXc_E
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/Z_IdzWUdKAU?si=K6-fC92iZXhLxLqL
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/O-ZVgZzRUwc?si=euZ46yqo568iBTsD
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://youtube.com/shorts/CbiEvw1sJ4Q?si=Qd9qG3UzAM4vqRf-
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/m4jONF5bUUk
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/LmZR01Xldek
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/p65iofzssHI
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/QGhyVqC1sWA
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/SUzNotWexFQ
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/kegGG_JWCns
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/oqqz3xykhlQ
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/DTXZGEAd4Z8
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/3sYnNGkjkhA
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/TVYl6v9f8us
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/X30BmLLXm4w
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/S1FHTrA89Ns
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/T3qbhmbRavc
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/ih7q2SE5M18
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/O8cZVAY3kLo
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/BRaeiCMuKpQ
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/1DRNwhg18NI
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/RHv0ONFfMfk
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/t860h75QgNY
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/7h_rLG16-sk
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/q2G4UyWLOGs
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/kFuT0PDVMNw
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/fAbY9wKoVXY
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/GZ6lJzWvoEM
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/zrTpC_nznGE
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/A54DmtWBFA8
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/zE8iYfWjw9w
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/ZvLMZ_ifmns
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/ZejtlQykGm8
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/VoaXkzJVtIo
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/TX3XpIkFZKs
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/IYIfUQ__hQc
,curl: (28) Operation timed out after 45011 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/yBX7wor18p4
,curl: (28) Operation timed out after 45011 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/gy6DPX0sLtc
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/HiDGfFOzfnk
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/FFr7JJcJwEg
,curl: (28) Operation timed out after 45009 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/p4AGbTnsxs8
,curl: (28) Operation timed out after 45008 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/cixocSycC3A
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/xs4AsbRqoT4
,curl: (28) Operation timed out after 45009 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/c4w4I9n-EQE
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/dyUed97vESs
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/v4IlwQInULQ
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/Hc0dFVz8Z5o
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/YugawDL8G4M
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/mUcS2bIy6Lk
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/MprxJKJ5RC8
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/flh6ZpFawFo
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/UxXxnS6AbDo
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/w4kMt3sXZoM
,curl: (28) Operation timed out after 45008 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/rVwRoSF9_1Q
,curl: (28) Operation timed out after 45008 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/KriiolXfPPY
,curl: (28) Operation timed out after 45009 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/jfmG2iigvG8
,curl: (28) Operation timed out after 45007 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/OxiH1xzJhgA
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/IxzRPI3CL3w
,curl: (28) Operation timed out after 45011 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/s0e24Oak93o
,curl: (28) Operation timed out after 45007 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/X2cEvpFoaKQ
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/EBohWCR33zs
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/wYhC2MXliGk
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/PdxfqLj439o
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/X-ky2lIGJX8
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/C64TlSC1PXE
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/-Nf6tZst7fw
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/Pm7bR2e6kcM
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/Ibc3hflWKLQ
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/sVorW62B8yM
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/leMefrvElYA
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/wttsweiGXZ8
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/tMvOp-pbyb8
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/xFYkuraE5gQ
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/G1lURknjmxM
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/FNgxSv2vfZY
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/fG2CO2HPhRc
,curl: (28) Operation timed out after 45000 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/H_YiO7IP8F0
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/yeukgKerfqM
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/48BnYG54694
,curl: (28) Operation timed out after 45005 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/fxn9pORPOTo
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/SHWvFyOT5cs
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/MU3yH489oZY
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/Tjrho4MWuTM
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/VvXlIkTtJow
,curl: (28) Operation timed out after 45006 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/utAPr-JssTY
,curl: (28) Operation timed out after 45002 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/PeVuVY8EJYA
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/xddSSmo3CIo
,curl: (28) Operation timed out after 45003 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/sKDr4wKPeF8
,curl: (28) Operation timed out after 45004 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/b1YJb3dA3Zk
,curl: (28) Operation timed out after 45001 milliseconds with 0 bytes received,,,,,,,,,https://www.youtube.com/shorts/fHyQSQd6fQ4
