api_notes,caption_chars,credibility_score,debug_notes,generation_origin_level,generation_origin_score,ingest_notes,top_claim_confidence,top_claim_status,transcript_chars,url
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.5. | Extracted evidence token count: 22. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,194,68.08,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Priyasa Family Kitchen). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/ydj_KdgLEaI
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.3. | Extracted evidence token count: 23. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,193,68.18,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Recipe By DEBO). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/M3Mr3DGErM4
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.52. | Extracted evidence token count: 17. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,149,67.56,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Jyoti Saroa). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/QSWhlyt8b5A
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 59.68. | Extracted evidence token count: 26. | External deepfake API not configured; manipulation score uses heuristic signals. | Open-source verifier: low overlap; uncertain verdict.,177,70.29,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file. | Frame OCR fallback used thumbnail OCR recovery.,low,1.31,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Kayedits). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,14,https://www.youtube.com/shorts/0uzC7YmJ4PQ
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.7. | Extracted evidence token count: 21. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,192,67.98,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Bloom & Craft). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/7_2X9jt3-1w
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 60.3. | Extracted evidence token count: 23. | External deepfake API not configured; manipulation score uses heuristic signals. | Open-source verifier: low overlap; uncertain verdict.,185,69.98,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file. | Frame OCR fallback used thumbnail OCR recovery.,low,1.31,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Glory_Girl). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,8,https://www.youtube.com/shorts/XM1CEBscTec
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.3. | Extracted evidence token count: 23. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,194,68.18,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Ajay cake chef). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/0BW9GHcmLwM
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.93. | Extracted evidence token count: 15. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,122,67.35,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Tuta Cute Art). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/vQjH5WB_Pj4
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.11. | Extracted evidence token count: 19. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,153,67.77,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Bhupendra Edit). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/0whZkzRXquI
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.32. | Extracted evidence token count: 18. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,138,67.66,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: dogsloverskerala). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/m3mi0eTXIuM
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.52. | Extracted evidence token count: 17. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,147,67.56,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Craft & Home). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/C2FYefLQp_k
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 60.3. | Extracted evidence token count: 23. | External deepfake API not configured; manipulation score uses heuristic signals. | Open-source verifier: low overlap; uncertain verdict.,181,69.98,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file. | Frame OCR fallback used thumbnail OCR recovery.,low,1.31,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: kanushka). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,11,https://www.youtube.com/shorts/36EeN0i1wqY
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.73. | Extracted evidence token count: 16. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,130,67.46,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Tuta Cute Art). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/keGKm_bZQTk
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.3. | Extracted evidence token count: 23. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,192,68.18,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: degisikbirgurme). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/rMYvOqL2E5Q
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.91. | Extracted evidence token count: 20. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,174,67.87,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Aleena John). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/SN5DTDajzpo
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.5. | Extracted evidence token count: 22. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,196,68.08,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Doctor Kitchen). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/NJHWbpxyHVg
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.91. | Extracted evidence token count: 20. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,172,67.87,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: My Cozy Kitchen Corner). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/myYTtWUDmSs
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 76.32. | Extracted evidence token count: 18. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,167,67.66,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Wherebookshines). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/m7tiO_3GZ8o
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.5. | Extracted evidence token count: 22. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,196,68.08,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: soniagarvit vlog). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/WC5qDkditAw
Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Evidence-quality penalty score: 75.3. | Extracted evidence token count: 23. | External deepfake API not configured; manipulation score uses heuristic signals. | No transcript provided; claim extraction may be incomplete.,189,68.18,yt-dlp metadata extraction failed. | youtube-transcript-api failed for this video. | Watch-page caption fallback: no caption tracks in player response. | Local ASR fallback: video download returned no file. | Frame OCR fallback: video download returned no file.,low,1.3,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: LipsaDCraft🧶🧵). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,0,https://www.youtube.com/shorts/eyEFlWddZ4w
